#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0000","+","DLC: HearthFires","","",""
"0001","+","DLC: Dragonborn","","",""
"0002","+","DLC: Dawnguard","","",""
"0003","+","Creation Club: ccQDRSSE001-SurvivalMode","","",""
"0004","+","Creation Club: ccBGSSSE037-Curios","","",""
"0005","+","Creation Club: ccBGSSSE025-AdvDSGS","","",""
"0006","+","Creation Club: ccBGSSSE001-Fish","","",""
"0007","+","Creation Club: _ResourcePack","","",""
"0008","+","Pandora Behaviour Engine Standalone Windows x64","","https://www.nexusmods.com/skyrimspecialedition/mods/133232","C:/Users/Leandro/Downloads/Pandora Behaviour Engine Standalone Windows x64-133232-v4-0-2-beta-1755901150.zip"
"0009","+","BodySlide and Outfit Studio -","","https://www.nexusmods.com/skyrimspecialedition/mods/201","C:/Users/Leandro/Downloads/BodySlide and Outfit Studio - v5.7.1-201-5-7-1-1753636918.7z"
"0010","+","BodySlide and Outfit Studio - Rogue's Ass","","https://www.nexusmods.com/skyrimspecialedition/mods/171457","C:/Users/Leandro/Downloads/Rogue's Ass-171457-1-1770058086.zip"
"0011","-","SSE Terrain Tamriel Extend","","https://www.nexusmods.com/skyrimspecialedition/mods/54680","C:/Users/Leandro/Downloads/SSE Terrain Tamriel Extend-54680-2-0-1687762048.7z"
"0012","+","DynDOLOD Resources SE","","https://www.nexusmods.com/skyrimspecialedition/mods/52897","C:/Users/Leandro/Downloads/DynDOLOD Resources SE 3.00-52897-Alpha-58-1767455113.7z"
"0013","+","DynDOLOD DLL NG and Scripts 3.00","","https://www.nexusmods.com/skyrimspecialedition/mods/97720","C:/Users/Leandro/Downloads/DynDOLOD DLL NG and Scripts 3.00-97720-Alpha-36-1752090868.7z"
"0014","-","BUG FIXES - EXPANSÕES_separator","","",""
"0015","+","1st Person Interact Animation Teleport Bug Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/92795","C:/Users/Leandro/Downloads/1st Person Interact Animation Teleport Bug Fix-92795-1-0-0-1685907012.zip"
"0016","+","2hw Arm Blend KILLER","","https://www.nexusmods.com/skyrimspecialedition/mods/51615","C:/Users/Leandro/Downloads/2hw Arm Blend KILLER-51615-2-1742056688.7z"
"0017","+","[RMB SPID] Core Framework","","https://www.nexusmods.com/skyrimspecialedition/mods/63625","C:/Users/Leandro/Downloads/RMB SPIDified - Core Framework-63625-6-2-1-1749738219.zip"
"0018","+","AddItemMenuSE-NG_114_SKSE2019","","https://www.nexusmods.com/skyrimspecialedition/mods/17563","C:/Users/Leandro/Downloads/AddItemMenuSE_114_SKSE2019-17563-1-14-1598741692.7z"
"0019","+","A Clear Map of Skyrim and Other Worlds","","https://www.nexusmods.com/skyrimspecialedition/mods/56367","C:/Users/Leandro/Downloads/A Clear Map of Skyrim and Other Worlds FOMOD-56367-4-0-1669293184.7z"
"0020","+","Alternate Start - Live Another Life","","https://www.nexusmods.com/skyrimspecialedition/mods/272","C:/Users/Leandro/Downloads/Alternate Start - Live Another Life-272-4-2-5-1751059176.7z"
"0021","+","Alternate Start LAL Voice Pack","","https://www.nexusmods.com/skyrimspecialedition/mods/66541","C:/Users/Leandro/Downloads/ASLAL Voice Pack-66541-2-3-1680683373.zip"
"0022","+","All in one Address Library (Anniversary Edition)","","https://www.nexusmods.com/skyrimspecialedition/mods/32444","C:/Users/Leandro/Downloads/All in one Address Library (Anniversary Edition)-32444-11-1707902394.zip"
"0023","+","AnimObject Swapper","","https://www.nexusmods.com/skyrimspecialedition/mods/75167","C:/Users/Leandro/Downloads/AnimObject Swapper-75167-1-1-0-1666410165.7z"
"0024","+","apyrus Load Fix Nchuanthumz CC","","https://www.nexusmods.com/skyrimspecialedition/mods/73820","C:/Users/Leandro/Downloads/Nchuanthumz Papyrus Load Fix-73820-1-0-1661154592.zip"
